Playlist,Categoria,Rotulo,Posicao,Musica,Artista,Duracao,Link_Spotify
TB 100 Vol. 2,Volume,Vol. 2,89,The Next Episode,Dr. Dre,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,90,The Way You Move,OutKast,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,91,Fallin',Alicia Keys,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,92,Conversations in the Dark,John Legend,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,93,Unholy,Sam Smith,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,94,Team,Lorde,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,95,when the party's over,Billie Eilish,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,96,Demons,Imagine Dragons,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,97,Girls Like You,Maroon 5,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,98,Secrets,OneRepublic,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,99,"Harder, Better, Faster, Stronger",Daft Punk,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 2,Volume,Vol. 2,100,Oye Como Va,Santana,,https://open.spotify.com/playlist/2ZObbaKW8T0PR4Sfp4R9yi
TB 100 Vol. 3,Volume,Vol. 3,1,We Are the Champions,Queen,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,2,Come Together,The Beatles,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,3,Smooth Criminal,Michael Jackson,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,4,Immigrant Song,Led Zeppelin,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,5,Lithium,Nirvana,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,6,Angie,The Rolling Stones,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,7,Knockin' on Heaven's Door,Bob Dylan,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,8,Life on Mars?,David Bowie,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,9,Little Red Corvette,Prince,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,10,Thunder Road,Bruce Springsteen,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,11,Sunday Bloody Sunday,U2,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,12,Money,Pink Floyd,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,13,Pinball Wizard,The Who,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,14,You Shook Me All Night Long,AC/DC,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,15,One,Metallica,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,16,Paradise City,Guns N' Roses,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,17,Life in the Fast Lane,Eagles,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,18,The Chain,Fleetwood Mac,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,19,"Hello, I Love You",The Doors,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,20,Voodoo Child (Slight Return),Jimi Hendrix,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,21,One Love / People Get Ready,Bob Marley,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,22,Isn't She Lovely,Stevie Wonder,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,23,I Heard It Through the Grapevine,Marvin Gaye,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,24,Chain of Fools,Aretha Franklin,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,25,Bennie and the Jets,Elton John,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,26,Hound Dog,Elvis Presley,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,27,I Got a Woman,Ray Charles,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,28,Sweet Little Sixteen,Chuck Berry,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,29,California Girls,The Beach Boys,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,30,The Boxer,Simon & Garfunkel,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,31,Paranoid Android,Radiohead,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,32,Live Forever,Oasis,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,33,Fix You,Coldplay,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,34,Can't Stop,Red Hot Chili Peppers,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,35,Don't Stand So Close to Me,The Police,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,36,It's My Life,Bon Jovi,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,37,Open Arms,Journey,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,38,Best of You,Foo Fighters,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,39,Black,Pearl Jam,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,40,Wake Me Up When September Ends,Green Day,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,41,Crawling,Linkin Park,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,42,Why'd You Only Call Me When You're High?,Arctic Monkeys,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,43,Human,The Killers,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,44,Lovesong,The Cure,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,45,Never Let Me Down Again,Depeche Mode,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,46,Outshined,Soundgarden,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,47,Icky Thump,The White Stripes,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,48,This Must Be the Place (Naive Melody),Talking Heads,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,49,Parklife,Blur,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,50,Walk of Life,Dire Straits,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,51,I Don't Want to Miss a Thing,Aerosmith,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,52,Shiny Happy People,R.E.M.,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,53,How Soon Is Now?,The Smiths,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,54,Starlight,Muse,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,55,Hot for Teacher,Van Halen,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,56,I Won't Back Down,Tom Petty and the Heartbreakers,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,57,Turn the Page,Bob Seger,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,58,London Calling,The Clash,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,59,All Day and All of the Night,The Kinks,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,60,War Pigs,Black Sabbath,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,61,Material Girl,Madonna,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,62,Greatest Love of All,Whitney Houston,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,63,Private Dancer,Tina Turner,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,64,The Winner Takes It All,ABBA,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,65,Tragedy,Bee Gees,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,66,She Bop,Cyndi Lauper,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,67,Set Fire to the Rain,Adele,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,68,Tears Dry on Their Own,Amy Winehouse,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,69,Cupid,Sam Cooke,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,70,These Arms of Mine,Otis Redding,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,71,Irreplaceable,Beyoncé,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,72,Work,Rihanna,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,73,Just Dance,Lady Gaga,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,74,California Gurls,Katy Perry,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,75,Anti-Hero,Taylor Swift,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,76,Photograph,Ed Sheeran,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,77,When I Was Your Man,Bruno Mars,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,78,Save Your Tears,The Weeknd,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,79,Physical,Dua Lipa,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,80,Elastic Heart,Sia,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,81,Love the Way You Lie,Eminem,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,82,Big Pimpin',Jay-Z,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,83,Flashing Lights,Kanye West,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,84,Swimming Pools (Drank),Kendrick Lamar,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,85,In My Feelings,Drake,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,86,Hit 'Em Up,2Pac,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,87,Mo Money Mo Problems,The Notorious B.I.G.,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,88,Who Am I (What's My Name)?,Snoop Dogg,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,89,Forgot About Dre,Dr. Dre,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,90,Roses,OutKast,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,91,Girl on Fire,Alicia Keys,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,92,Save Room,John Legend,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,93,Too Good at Goodbyes,Sam Smith,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,94,Ribs,Lorde,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,95,Ocean Eyes,Billie Eilish,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,96,Thunder,Imagine Dragons,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,97,She Will Be Loved,Maroon 5,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,98,Good Life,OneRepublic,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,99,Around the World,Daft Punk,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 3,Volume,Vol. 3,100,Black Magic Woman,Santana,,https://open.spotify.com/playlist/3q7KVpqK1r4Tc8OJ1NgOE6
TB 100 Vol. 4,Volume,Vol. 4,1,Another One Bites the Dust,Queen,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,2,Yesterday,The Beatles,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,3,Bad,Michael Jackson,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,4,Black Dog,Led Zeppelin,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,5,In Bloom,Nirvana,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,6,Sympathy for the Devil,The Rolling Stones,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,7,Mr. Tambourine Man,Bob Dylan,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,8,Starman,David Bowie,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,9,1999,Prince,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,10,Glory Days,Bruce Springsteen,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,11,Where the Streets Have No Name,U2,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,12,Time,Pink Floyd,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,13,Behind Blue Eyes,The Who,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,14,T.N.T.,AC/DC,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,15,The Unforgiven,Metallica,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,16,Don't Cry,Guns N' Roses,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,17,Take It to the Limit,Eagles,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,18,Rhiannon,Fleetwood Mac,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,19,People Are Strange,The Doors,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,20,Foxey Lady,Jimi Hendrix,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,21,Buffalo Soldier,Bob Marley,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,22,You Are the Sunshine of My Life,Stevie Wonder,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,23,Got to Give It Up,Marvin Gaye,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,24,I Say a Little Prayer,Aretha Franklin,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,25,Goodbye Yellow Brick Road,Elton John,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,26,Love Me Tender,Elvis Presley,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,27,I Can't Stop Loving You,Ray Charles,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,28,You Never Can Tell,Chuck Berry,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,29,Surfin' U.S.A.,The Beach Boys,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,30,Cecilia,Simon & Garfunkel,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,31,Fake Plastic Trees,Radiohead,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,32,Supersonic,Oasis,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,33,Clocks,Coldplay,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,34,By the Way,Red Hot Chili Peppers,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,35,Every Little Thing She Does Is Magic,The Police,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,36,Always,Bon Jovi,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,37,Separate Ways (Worlds Apart),Journey,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,38,My Hero,Foo Fighters,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,39,Better Man,Pearl Jam,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,40,Good Riddance (Time of Your Life),Green Day,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,41,What I've Done,Linkin Park,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,42,I Bet You Look Good on the Dancefloor,Arctic Monkeys,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,43,Read My Mind,The Killers,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,44,Close to Me,The Cure,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,45,Policy of Truth,Depeche Mode,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,46,Rusty Cage,Soundgarden,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,47,Blue Orchid,The White Stripes,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,48,Road to Nowhere,Talking Heads,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,49,The Universal,Blur,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,50,Romeo and Juliet,Dire Straits,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,51,Sweet Emotion,Aerosmith,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,52,Man on the Moon,R.E.M.,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,53,Heaven Knows I'm Miserable Now,The Smiths,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,54,Madness,Muse,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,55,Runnin' with the Devil,Van Halen,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,56,Mary Jane's Last Dance,Tom Petty and the Heartbreakers,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,57,Against the Wind,Bob Seger,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,58,Train in Vain,The Clash,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,59,Waterloo Sunset,The Kinks,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,60,N.I.B.,Black Sabbath,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,61,Hung Up,Madonna,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,62,Saving All My Love for You,Whitney Houston,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
